case_id,image_file,mean_R,mean_G,mean_B,SSIM_to_set_mean,hist_00,hist_01,hist_02,hist_03,hist_04,hist_05,hist_06,hist_07,hist_08,hist_09,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,hist_24,hist_25,hist_26,hist_27,hist_28,hist_29,hist_30,hist_31,hu_log_1,hu_log_2,hu_log_3,hu_log_4,hu_log_5,hu_log_6,hu_log_7
016,016B.jpg,161.450336,118.616525,123.046661,0.314772,0.042722,0.033998,0.031869,0.033968,0.031903,0.030746,0.028553,0.028998,0.027578,0.031381,0.0273,0.029918,0.031431,0.030086,0.027567,0.028918,0.028843,0.029883,0.030348,0.032739,0.0311,0.028594,0.027153,0.028962,0.031129,0.030187,0.030896,0.031745,0.033735,0.031099,0.034007,0.042644,2.728125,6.368669,9.995692,10.380548,20.574896,13.573558,21.34298079
017,017B.jpg,132.856263,136.930133,154.531999,0.560371,0.049276,0.023388,0.015644,0.021781,0.020069,0.013885,0.021115,0.01825,0.018615,0.015095,0.01799,0.019318,0.025802,0.03675,0.055366,0.093031,0.105785,0.055732,0.045998,0.033332,0.030279,0.022295,0.020309,0.024643,0.022235,0.017873,0.016924,0.015931,0.017837,0.024323,0.035925,0.045205,2.454395,5.779899,10.073825,9.679076,19.555941,-12.57607,20.91501202
018,018B.jpg,118.049101,121.806967,131.639615,0.069254,0.030214,0.036606,0.030327,0.024628,0.018469,0.016805,0.018927,0.018957,0.020545,0.021873,0.021629,0.024648,0.027797,0.040486,0.060216,0.080867,0.085835,0.067119,0.041117,0.030884,0.0243,0.021983,0.022573,0.021508,0.019531,0.016904,0.016511,0.01837,0.023389,0.029654,0.035186,0.03214,2.929428,6.868855,10.134566,10.183788,20.347407,13.629766,-21.18971457
019,019B.jpg,143.842528,152.042007,149.920337,0.307925,0.056065,0.018177,0.01661,0.016802,0.014801,0.013541,0.014071,0.014212,0.01411,0.013209,0.014987,0.016734,0.018706,0.020283,0.032578,0.183196,0.169187,0.031126,0.021422,0.019273,0.017326,0.015127,0.01342,0.013985,0.015868,0.015794,0.01517,0.015524,0.015333,0.017858,0.021968,0.103538,2.815852,6.65446,11.632531,10.715731,22.275699,14.118887,21.93010597
020,020B.jpg,147.994511,154.402331,158.23233,0.337752,0.055634,0.02652,0.019333,0.018704,0.019394,0.021859,0.023216,0.021949,0.022681,0.024371,0.027318,0.025224,0.029393,0.033092,0.039178,0.075821,0.072454,0.052091,0.048452,0.039038,0.032332,0.03086,0.027883,0.024395,0.021338,0.018549,0.015846,0.016601,0.016472,0.020794,0.023965,0.055245,2.979771,7.143614,9.841535,10.733074,-22.904652,-14.407207,21.0204149
021,021B.jpg,160.092529,120.271799,105.650426,0.050865,0.040131,0.034627,0.03357,0.036157,0.039912,0.034973,0.030299,0.030701,0.028924,0.03025,0.031247,0.029969,0.026343,0.024843,0.025348,0.025284,0.025347,0.025345,0.025278,0.026297,0.029626,0.031154,0.029059,0.029685,0.029306,0.031184,0.0344,0.038774,0.034865,0.033429,0.034738,0.038937,3.205233,8.32942,12.604927,12.69534,25.345706,-16.860286,26.82191565
022,022B.jpg,122.970656,130.658852,147.177928,0.428333,0.053496,0.033286,0.025994,0.020389,0.018137,0.015237,0.017071,0.017491,0.016935,0.017882,0.020474,0.023789,0.02841,0.03474,0.048754,0.112423,0.099972,0.044735,0.036874,0.029364,0.026596,0.021149,0.0178,0.017766,0.019914,0.015652,0.017691,0.017401,0.021211,0.02439,0.032956,0.052019,2.651673,6.077518,9.819865,11.09835,22.040926,14.217231,21.5822528
023,023B.jpg,149.971092,132.291546,134.758399,0.494481,0.071914,0.028597,0.025593,0.024894,0.028893,0.02679,0.026775,0.02635,0.023133,0.022543,0.021624,0.020729,0.020551,0.021687,0.03246,0.060997,0.070519,0.029775,0.024488,0.022223,0.019836,0.021818,0.021522,0.021794,0.031652,0.03179,0.033722,0.031797,0.027915,0.030268,0.032937,0.064412,2.822979,6.442864,10.17534,10.190125,-20.872817,-13.704168,20.39574099
024,024B.jpg,118.981428,114.366957,165.814112,0.398039,0.016692,0.014653,0.012986,0.011464,0.015015,0.015243,0.016108,0.019563,0.021816,0.023529,0.025451,0.028919,0.029986,0.036194,0.052121,0.097681,0.179476,0.060099,0.05385,0.034083,0.026518,0.021381,0.019549,0.018084,0.031406,0.034956,0.018262,0.012764,0.013527,0.0119,0.012422,0.014301,2.737418,6.711258,9.04595,9.797856,19.223767,-13.163758,20.08866189
025,025B.jpg,161.146557,116.211118,120.607257,0.152364,0.059055,0.023519,0.020055,0.016383,0.01784,0.021304,0.040064,0.049906,0.068457,0.045855,0.026773,0.020216,0.016374,0.014633,0.017979,0.052052,0.055425,0.016669,0.016089,0.018575,0.029933,0.03992,0.052468,0.0526,0.043202,0.027818,0.018282,0.015126,0.014817,0.016064,0.020062,0.052484,2.778401,8.064664,11.137737,10.932547,22.458649,-15.108254,21.99159626
026,026B.jpg,128.392097,147.704941,127.335101,0.192815,0.104933,0.038866,0.025745,0.020919,0.017297,0.017447,0.015849,0.015917,0.017644,0.016481,0.018389,0.024159,0.02579,0.041867,0.057363,0.071354,0.054306,0.032126,0.023727,0.01883,0.017703,0.017029,0.015915,0.019612,0.018992,0.017933,0.017632,0.019923,0.02345,0.027218,0.039807,0.105778,2.939021,7.299461,11.071997,10.603229,-21.642582,14.443237,21.54993907
027,027B.jpg,130.38122,121.493323,172.579405,0.593205,0.024904,0.020262,0.028858,0.02935,0.022867,0.023578,0.024847,0.023933,0.028361,0.023744,0.02614,0.025993,0.029693,0.037565,0.051227,0.103023,0.102185,0.05258,0.03994,0.029789,0.025102,0.024944,0.02184,0.022179,0.022563,0.017605,0.019252,0.019381,0.018207,0.017674,0.021025,0.02139,2.310235,5.066335,8.401473,8.428256,-17.515577,-10.961839,16.85316308
028,028B.jpg,121.290499,128.104856,141.719875,0.446147,0.060435,0.036506,0.027302,0.02623,0.02435,0.022709,0.021778,0.022,0.023512,0.020782,0.023137,0.026519,0.027816,0.029938,0.043117,0.090301,0.095761,0.041844,0.034181,0.025349,0.01963,0.017093,0.016336,0.014885,0.016246,0.014328,0.019309,0.019769,0.022495,0.023741,0.035412,0.057189,2.582059,6.040774,8.881297,9.51675,18.882684,-12.581317,18.85104424
029,029B.jpg,126.806928,156.495447,133.163982,0.184908,0.110229,0.039383,0.021757,0.01466,0.010605,0.010603,0.010018,0.011109,0.010022,0.010849,0.013304,0.017121,0.019864,0.025624,0.0391,0.091205,0.11575,0.059486,0.036969,0.023884,0.01842,0.015541,0.012837,0.012156,0.011604,0.01107,0.011181,0.012242,0.016973,0.024555,0.045578,0.116303,2.786516,9.049566,11.179874,11.011192,-22.598239,-15.786962,22.1305676
030,030B.jpg,118.830903,125.712114,140.875023,0.302173,0.020072,0.017404,0.015238,0.015349,0.014182,0.015512,0.015972,0.016369,0.018832,0.017288,0.021816,0.023618,0.031028,0.036381,0.056787,0.156882,0.184045,0.050267,0.032979,0.024602,0.021818,0.018132,0.021041,0.018109,0.019947,0.018385,0.015778,0.017257,0.017026,0.015646,0.01536,0.016878,2.794608,8.017825,11.317729,9.537918,-19.980535,13.947976,-20.55643081
031,031B.jpg,162.665544,148.726382,121.17549,0.279838,0.032106,0.025027,0.017146,0.017201,0.035026,0.039101,0.01933,0.015443,0.019805,0.027707,0.038372,0.042084,0.028212,0.022837,0.024695,0.053279,0.051257,0.024912,0.021962,0.03126,0.0449,0.046167,0.027705,0.023222,0.023893,0.038927,0.06866,0.037196,0.022944,0.020599,0.024243,0.034781,2.838402,7.700507,10.330682,10.046757,-20.381068,-13.924487,-20.39102833
032,032B.jpg,170.458069,119.956574,119.978994,0.178644,0.043991,0.038735,0.02303,0.019356,0.070515,0.038852,0.032143,0.017838,0.023872,0.030708,0.042479,0.019892,0.02079,0.016949,0.022722,0.046764,0.019808,0.015232,0.023386,0.030828,0.034987,0.04385,0.021618,0.017233,0.049329,0.047898,0.044314,0.019558,0.024411,0.03109,0.020591,0.047232,2.929453,7.509471,11.913185,11.975963,-23.995122,-15.734983,24.18881449
033,033B.jpg,140.211084,143.258476,114.574329,0.222539,0.07704,0.038184,0.027474,0.024042,0.024824,0.020022,0.017346,0.01579,0.017334,0.020617,0.023165,0.021374,0.021416,0.025281,0.022739,0.034504,0.056104,0.051624,0.040903,0.029905,0.019727,0.019705,0.018934,0.018162,0.020393,0.020621,0.022599,0.02386,0.025822,0.029664,0.041735,0.129089,2.899921,7.681521,10.195852,11.224762,-22.014041,15.377913,22.19299943
034,034B.jpg,145.707908,142.876233,119.307713,0.291961,0.03613,0.025096,0.025004,0.032584,0.027743,0.019247,0.014455,0.013781,0.015435,0.017354,0.016826,0.019587,0.01999,0.028476,0.060496,0.136662,0.114885,0.03275,0.021686,0.014896,0.016133,0.01733,0.020801,0.015597,0.014804,0.01631,0.021375,0.039217,0.061579,0.032297,0.024215,0.027258,2.730383,7.37003,9.902595,9.80989,-19.773279,-13.602005,19.87089817
035,035B.jpg,122.112346,116.247081,170.342449,0.585281,0.021898,0.021148,0.015999,0.013437,0.014109,0.015839,0.017486,0.019512,0.023635,0.022291,0.030003,0.032097,0.040576,0.04797,0.066998,0.10386,0.103029,0.058038,0.050258,0.037355,0.035625,0.025547,0.021743,0.019951,0.017669,0.015292,0.016013,0.015454,0.017269,0.0175,0.01948,0.022916,2.52598,5.920927,10.295134,9.719578,19.729706,-12.716897,-20.67524832
036,036B.jpg,144.408139,133.774087,141.0907,0.268852,0.072993,0.035271,0.026666,0.024207,0.022569,0.022575,0.02269,0.022681,0.021612,0.023496,0.023494,0.025359,0.027088,0.030088,0.037379,0.075258,0.086748,0.036897,0.028443,0.02455,0.021989,0.02131,0.020042,0.020795,0.020709,0.02066,0.019364,0.021129,0.023057,0.025441,0.033539,0.0619,2.965766,7.239523,10.90148,10.675015,22.186142,14.380564,21.47118584
037,037B.jpg,148.156131,145.08649,112.713007,0.063534,0.056458,0.03756,0.02535,0.019993,0.019864,0.024994,0.032426,0.034239,0.032315,0.02815,0.02121,0.016494,0.013395,0.01678,0.025177,0.069804,0.100422,0.03176,0.01666,0.012034,0.012964,0.016625,0.019839,0.033653,0.04372,0.031725,0.022666,0.021278,0.020603,0.028989,0.045776,0.067075,3.029289,7.125628,10.477063,10.875552,-21.767519,14.815793,-21.65233015
038,038B.jpg,121.353009,128.037841,154.806375,0.528717,0.045965,0.032732,0.023849,0.021043,0.017744,0.019481,0.017944,0.017837,0.018519,0.019886,0.021669,0.026152,0.03267,0.041826,0.057179,0.090142,0.105552,0.049087,0.035711,0.033319,0.024738,0.022712,0.020466,0.01719,0.019112,0.016742,0.017434,0.02066,0.022257,0.025013,0.028669,0.0367,2.534417,6.491399,7.888007,8.642246,16.90822,11.898882,18.11205893
039,039B.jpg,131.341516,132.820085,133.175277,0.263569,0.056502,0.029468,0.028623,0.031416,0.028069,0.026878,0.026289,0.028412,0.025298,0.023809,0.02174,0.023822,0.025251,0.031926,0.047794,0.071935,0.068577,0.034967,0.027092,0.023169,0.021632,0.018777,0.020034,0.022061,0.023905,0.022436,0.022205,0.023176,0.027529,0.026073,0.030931,0.060204,2.875741,7.083351,11.507474,11.147712,22.52281,14.736865,22.82863741
040,040B.jpg,172.65264,128.240102,111.048724,0.057983,0.053059,0.041377,0.035924,0.034127,0.033146,0.036287,0.039121,0.046488,0.042395,0.032299,0.02546,0.022861,0.02014,0.01758,0.017457,0.022647,0.02552,0.019239,0.019016,0.016603,0.018795,0.023255,0.027944,0.03629,0.037749,0.035092,0.035075,0.030387,0.032081,0.033728,0.036899,0.051959,3.094712,8.562545,12.004046,12.704625,25.275804,17.664037,25.15872609
041,041B.jpg,167.019017,121.578509,129.482468,0.438926,0.031861,0.032824,0.029532,0.03452,0.029974,0.031472,0.03406,0.033484,0.036127,0.028398,0.030698,0.030255,0.03217,0.031826,0.035289,0.037843,0.036463,0.029565,0.030304,0.029995,0.032303,0.031043,0.027161,0.026759,0.031578,0.02722,0.029693,0.033486,0.028893,0.027565,0.029976,0.027664,2.647991,6.423183,9.990593,10.194404,-20.354315,-14.170017,-20.57374501
042,042B.jpg,151.007498,124.978457,139.913221,0.241596,0.034581,0.028065,0.027181,0.027579,0.024348,0.025142,0.027314,0.02632,0.028251,0.030927,0.03247,0.033225,0.037865,0.03923,0.043426,0.057717,0.058749,0.047479,0.03954,0.03557,0.031999,0.02754,0.025162,0.022448,0.022303,0.019626,0.021084,0.021008,0.021184,0.023938,0.026071,0.032659,2.742425,8.017168,9.508546,9.603954,19.235336,-13.621409,19.42715525
043,043B.jpg,141.01664,147.139754,110.166499,0.283978,0.08609,0.063449,0.038926,0.016368,0.010965,0.012534,0.017421,0.046142,0.051023,0.018344,0.006651,0.00849,0.021354,0.038278,0.056586,0.034917,0.033639,0.053247,0.024309,0.018436,0.016378,0.012373,0.013412,0.035962,0.052152,0.022151,0.011027,0.007195,0.015207,0.027775,0.047093,0.082107,2.726507,8.204057,11.499417,12.089947,-23.903596,16.309417,-24.42341865
044,044B.jpg,151.378868,144.547272,112.556928,0.108693,0.084472,0.017662,0.015204,0.027838,0.018742,0.010838,0.027998,0.098719,0.030824,0.010422,0.014412,0.025505,0.017759,0.012742,0.042081,0.067546,0.074406,0.014365,0.013025,0.015773,0.028853,0.016525,0.024014,0.015642,0.075102,0.029146,0.010197,0.012629,0.023696,0.012776,0.020539,0.090548,3.094123,8.601595,11.962055,11.731244,23.719858,16.259913,-23.73730883
045,045B.jpg,134.448505,138.707847,152.491028,0.287916,0.023272,0.021925,0.023732,0.024784,0.025882,0.028384,0.033657,0.040114,0.039408,0.037957,0.032249,0.031637,0.032043,0.030151,0.035519,0.047263,0.052878,0.026784,0.024789,0.025312,0.026726,0.029178,0.032772,0.040656,0.041159,0.035183,0.029366,0.029099,0.024115,0.025486,0.024236,0.024286,2.843386,8.311268,10.196694,10.291352,20.573445,-14.563967,-20.93222091
046,046B.jpg,145.940388,121.232729,131.442798,0.480705,0.038034,0.020617,0.023459,0.02873,0.032649,0.035475,0.030839,0.028415,0.023538,0.022589,0.022324,0.023671,0.022524,0.025754,0.033618,0.068314,0.064376,0.039375,0.033269,0.031268,0.028961,0.027997,0.02312,0.026146,0.02379,0.031365,0.028149,0.033539,0.030768,0.031074,0.027381,0.038872,3.033142,6.348135,10.782583,11.246682,22.460354,14.762333,22.37219155
047,047B.jpg,140.692845,118.034533,138.59381,0.419097,0.033875,0.032582,0.027688,0.029713,0.026916,0.025035,0.026695,0.027807,0.032938,0.034717,0.031956,0.03149,0.039224,0.040018,0.052307,0.057797,0.053307,0.043498,0.03784,0.031933,0.027678,0.025164,0.023117,0.019181,0.02067,0.020053,0.020061,0.021324,0.023277,0.026394,0.02629,0.029455,2.946846,6.461785,11.564594,11.207921,23.0829,-14.731857,-22.61834821
048,048B.jpg,132.406801,132.708747,152.128762,0.403838,0.029739,0.024012,0.022832,0.025597,0.027823,0.02493,0.024959,0.02716,0.027766,0.029286,0.028001,0.029904,0.032495,0.033206,0.062288,0.148973,0.083344,0.044399,0.02856,0.021254,0.019397,0.017518,0.01591,0.016039,0.018026,0.017602,0.014736,0.015213,0.016489,0.019575,0.023793,0.029175,2.855746,6.249518,11.643381,11.661354,24.4495,-15.824791,-23.31488696
049,049B.jpg,135.678618,155.709636,149.663357,0.433982,0.101807,0.035316,0.02308,0.018985,0.015766,0.015821,0.015074,0.013404,0.01531,0.016183,0.016633,0.01895,0.022743,0.026248,0.036315,0.107971,0.097446,0.057741,0.03171,0.02726,0.019832,0.0164,0.017822,0.017045,0.015306,0.013783,0.013629,0.016128,0.017952,0.021851,0.031278,0.085209,2.746022,6.040331,10.364981,10.464633,21.243335,13.684525,-20.92443721
050,050B.jpg,125.391967,153.274329,142.407361,0.417191,0.11101,0.032748,0.018724,0.014012,0.011521,0.011268,0.008668,0.009697,0.010349,0.011113,0.012446,0.015587,0.020451,0.028016,0.040938,0.120174,0.136684,0.046669,0.034961,0.024551,0.016563,0.012791,0.010412,0.010198,0.00858,0.008098,0.01047,0.011918,0.013259,0.017249,0.030035,0.130841,2.873035,6.918808,10.404089,10.628393,-22.080981,14.941129,21.14756438
051,051B.jpg,127.099349,126.008216,138.342745,0.454208,0.07387,0.034214,0.024584,0.019061,0.019466,0.017086,0.014174,0.014774,0.015367,0.019782,0.031731,0.026988,0.025494,0.032083,0.044251,0.082384,0.086683,0.048484,0.032431,0.027942,0.024699,0.021186,0.016112,0.015722,0.014726,0.015087,0.015195,0.020156,0.02404,0.028695,0.034562,0.078971,2.839299,6.250999,10.032705,12.246999,23.50817,-15.803385,-23.57110679
052,052B.jpg,121.437804,154.24812,135.825598,0.259202,0.082454,0.051335,0.02836,0.020914,0.017297,0.015349,0.015065,0.014876,0.013981,0.013442,0.014875,0.016658,0.020372,0.030978,0.04859,0.110541,0.10545,0.042904,0.028205,0.020265,0.016702,0.014637,0.012406,0.01252,0.01211,0.012955,0.014021,0.015182,0.019904,0.026736,0.045324,0.085594,2.742236,7.508953,9.192575,10.769303,21.54483,-14.643497,20.75590706
053,053B.jpg,115.289578,112.429697,148.204758,0.401312,0.031709,0.01987,0.016013,0.01708,0.016547,0.014492,0.014335,0.014129,0.01677,0.017951,0.023369,0.033509,0.0509,0.062593,0.055659,0.108008,0.123424,0.050927,0.033345,0.028902,0.028393,0.023095,0.020072,0.019282,0.018045,0.015189,0.017624,0.017995,0.018623,0.019996,0.021139,0.031016,2.769254,6.48755,10.396512,10.186662,20.50114,-13.58316,20.97813778
054,054B.jpg,137.353738,136.268186,144.848277,0.087408,0.109081,0.065625,0.042039,0.031752,0.027189,0.022186,0.016857,0.014914,0.014141,0.01218,0.01261,0.013906,0.015003,0.019123,0.028745,0.064293,0.063452,0.035371,0.026349,0.018664,0.015695,0.012902,0.0115,0.012789,0.013044,0.014807,0.01683,0.022227,0.031274,0.04319,0.060644,0.091617,3.055045,8.605501,11.632283,11.653908,23.421539,-15.966169,-23.47703268
055,055B.jpg,120.126055,112.178257,110.528436,0.31808,0.039745,0.026854,0.02029,0.019108,0.017296,0.016883,0.016651,0.01833,0.018352,0.01944,0.021758,0.023713,0.027059,0.035566,0.052999,0.123727,0.117347,0.055054,0.038943,0.027124,0.0239,0.020812,0.017122,0.018442,0.016305,0.016178,0.016879,0.017738,0.020886,0.021468,0.028843,0.045189,2.811989,6.678813,9.941113,10.171531,-20.246205,14.567651,-20.77350796
056,056B.jpg,147.296063,159.883973,113.546386,0.142869,0.165144,0.046003,0.026216,0.021578,0.018338,0.016044,0.014178,0.011649,0.011766,0.011287,0.012787,0.015124,0.017518,0.033403,0.041239,0.026839,0.018784,0.016035,0.018009,0.018961,0.017273,0.015802,0.016317,0.013865,0.012798,0.014858,0.018959,0.020516,0.025295,0.0476,0.071179,0.164635,2.899702,8.244269,11.916875,12.481997,24.804786,16.660977,24.86299424
057,057B.jpg,74.033024,109.556842,147.869316,0.471538,0.050192,0.02398,0.019035,0.016119,0.013747,0.013241,0.014285,0.014771,0.016435,0.015236,0.019148,0.021316,0.0277,0.034778,0.056236,0.154642,0.112918,0.052616,0.039355,0.032908,0.028257,0.022802,0.021002,0.018592,0.019833,0.016201,0.014753,0.015269,0.016654,0.017538,0.021137,0.039304,2.756944,6.071143,10.007313,10.804935,-21.717613,-14.021215,-21.23322168
058,058B.jpg,157.448566,146.788988,113.805312,0.05058,0.065877,0.042479,0.034795,0.0294,0.025684,0.026455,0.024318,0.023589,0.024639,0.024135,0.026559,0.026567,0.027414,0.029339,0.032372,0.036835,0.036761,0.031924,0.029693,0.027621,0.026375,0.026949,0.02414,0.024462,0.023585,0.024211,0.026086,0.02589,0.029536,0.03497,0.042001,0.065339,3.175237,12.250527,15.89154,16.411064,-29.999532,22.642228,-29.99890762
059,059B.jpg,157.545772,151.154009,110.823493,0.164241,0.072018,0.056143,0.047128,0.03736,0.030283,0.028169,0.024687,0.024641,0.021866,0.022255,0.021203,0.023729,0.021667,0.02337,0.024868,0.029346,0.029336,0.02354,0.021799,0.020772,0.020407,0.018808,0.02118,0.02194,0.023653,0.025417,0.026326,0.030186,0.037293,0.042154,0.058439,0.070018,3.068708,9.593986,12.804194,11.603452,-24.132018,16.524887,23.8623818
